aid,candid,corrected,dec,dubious,e_dec,e_mag,e_mag_corr,e_mag_corr_ext,e_ra,fid,has_stamp,isdiffpos,mag,mag_corr,mjd,oid,parent_candid,pid,ra,sid,tid,adpctdif1,adpctdif2,chinr,clrcoeff,clrcounc,decnr,diffmaglim,distnr,exptime,field,magnr,magzpsci,magzpscirms,magzpsciunc,procstatus,programid,ranr,rcid,rfid,scibckgnd,sciinpseeing,scisigpix,sharpnr,sigmagnr
"","ZTF21aaqytjr2643315785515",false,7.2283882,true,"",0.9290434718132019,"","","",1,false,-1,21.419832229614258,"",60397.315787000116,"ZTF21aaqytjr",2657394815515010000,2643315785515,186.4236641,"","ztf",0.12384500354528427,0.11679799854755402,5.285999774932861,-0.008544369600713253,0.000057248398661613464,7.228869438171387,19.514799118041992,2.3903872966766357,30,473,17.934999465942383,26.30470085144043,0.03974509984254837,0.00002901799962273799,"0",1,186.42320251464844,55,473120155,138.56399536132812,2.5455000400543213,13.558899879455566,0.5070000290870667,0.08900000154972076
"","ZTF21aaqytjr2655232035515",false,7.2283754,true,"",0.8719830513000488,"","","",1,false,-1,22.991931915283203,"",60409.23203699989,"ZTF21aaqytjr",2683150275515010000,2655232035515,186.4236609,"","ztf",0.1096310019493103,0.09926500171422958,5.285999774932861,-0.04059140011668205,0.000007959100003063213,7.228869438171387,21.215599060058594,2.41623854637146,240,473,17.934999465942383,28.552600860595703,0.018550299108028412,0.000005121100002725143,"0",1,186.42320251464844,55,473120155,1081.8199462890625,3.1275999546051025,16.329299926757812,0.5070000290870667,0.08900000154972076
"","ZTF21aaqytjr2655172375515",false,7.2283754,false,"",0.4327273368835449,"","","",2,false,1,22.061912536621094,"",60409.17237270018,"ZTF21aaqytjr",2683150275515010000,2655172375515,186.4236609,"","ztf",0.10312800109386444,0.08978100121021271,5.88100004196167,0.11822099983692169,0.000011803300367319025,7.228910446166992,21.000200271606445,2.924199104309082,240,473,17.56399917602539,28.427799224853516,0.02239529974758625,0.0000076111000453238375,"0",1,186.4230499267578,55,473120255,1829.739990234375,2.55049991607666,20.570499420166016,0.7020000219345093,0.10400000214576721
"","ZTF21aaqytjr2653322035515",false,7.2283754,true,"",0.8833532929420471,"","","",1,false,-1,22.23743438720703,"",60407.32203700021,"ZTF21aaqytjr",2683150275515010000,2653322035515,186.4236609,"","ztf",0.11350599676370621,0.10766799747943878,5.285999774932861,-0.03319520130753517,0.00002691470035642851,7.228869438171387,20.464799880981445,2.41623854637146,30,473,17.934999465942383,26.311500549316406,0.03341669961810112,0.000016788200809969567,"0",1,186.42320251464844,55,473120155,137.60899353027344,2.389400005340576,5.8663201332092285,0.5070000290870667,0.08900000154972076
"","ZTF21aaqytjr2653265845515",false,7.2283754,false,"",19.596359252929688,"","","",2,false,1,25.627424240112305,"",60407.26584490016,"ZTF21aaqytjr",2683150275515010000,2653265845515,186.4236609,"","ztf",0.11875899881124496,0.11494799703359604,5.88100004196167,0.10882300138473511,0.00003217970152036287,7.228910446166992,20.533599853515625,2.924199104309082,30,473,17.56399917602539,26.223800659179688,0.036719899624586105,0.0000206537006306462,"0",1,186.4230499267578,55,473120255,242.19500732421875,1.3437999486923218,6.8802900314331055,0.7020000219345093,0.10400000214576721
"","ZTF21aaqytjr2649337155515",false,7.2283882,true,"",4.21686315536499,"","","",1,false,-1,23.908750534057617,"",60403.33715280006,"ZTF21aaqytjr",2657394815515010000,2649337155515,186.4236641,"","ztf",0.11578500270843506,0.10752499848604202,5.285999774932861,-0.04003160074353218,0.000022330499632516876,7.228869438171387,20.387399673461914,2.3903872966766357,30,473,17.934999465942383,26.335100173950195,0.029995299875736237,0.000013658100215252489,"0",1,186.42320251464844,55,473120155,140.3209991455078,2.4697999954223633,6.121399879455566,0.5070000290870667,0.08900000154972076
"","ZTF21aaqytjr2649263985515",false,7.2283882,false,"",1.8251019716262817,"","","",2,false,1,23.143932342529297,"",60403.263981500175,"ZTF21aaqytjr",2657394815515010000,2649263985515,186.4236641,"","ztf",0.11253800243139267,0.11038800328969955,5.88100004196167,0.10910999774932861,0.00001938519926625304,7.228910446166992,20.53499984741211,2.90275502204895,30,473,17.56399917602539,26.221200942993164,0.02855920046567917,0.000012303299627092201,"0",1,186.4230499267578,55,473120255,242.4720001220703,1.4636000394821167,6.614150047302246,0.7020000219345093,0.10400000214576721
"","ZTF21aaqytjr2643413315515",false,7.2283882,true,"",1.2304935455322266,"","","",2,false,-1,21.793231964111328,"",60397.413310199976,"ZTF21aaqytjr",2657394815515010000,2643413315515,186.4236641,"","ztf",0.11281400173902512,0.10614500194787979,5.88100004196167,0.10524400323629379,0.000021363999621826224,7.228910446166992,19.60070037841797,2.90275502204895,30,473,17.56399917602539,26.15329933166504,0.03035850077867508,0.000013730100363318343,"0",1,186.4230499267578,55,473120255,231.27099609375,1.6476999521255493,14.216300010681152,0.7020000219345093,0.10400000214576721
"","ZTF21aaqytjr2657323695515",false,7.2283754,true,"",0.9800799489021301,"","","",1,false,-1,23.358062744140625,"",60411.32369210012,"ZTF21aaqytjr",2683150275515010000,2657323695515,186.4236609,"","ztf",0.10734099894762039,0.0925849974155426,5.285999774932861,-0.03558740019798279,0.0000071394701990357134,7.228869438171387,21.531700134277344,2.41623854637146,240,473,17.934999465942383,28.560199737548828,0.017647499218583107,0.000004602500212058658,"0",1,186.42320251464844,55,473120155,1092.739990234375,2.3935000896453857,14.94729995727539,0.5070000290870667,0.08900000154972076
"","ZTF21aaqytjr2657302145515",false,7.2283754,false,"",3.1860527992248535,"","","",2,false,1,24.527910232543945,"",60411.30214119982,"ZTF21aaqytjr",2683150275515010000,2657302145515,186.4236609,"","ztf",0.09915199875831604,0.09010300040245056,5.88100004196167,0.11285600066184998,0.000012516199603851419,7.228910446166992,21.29050064086914,2.924199104309082,240,473,17.56399917602539,28.487499237060547,0.022755999118089676,0.0000080581003203406,"0",1,186.4230499267578,55,473120255,1923.8800048828125,2.1229000091552734,18.3169002532959,0.7020000219345093,0.10400000214576721
"","ZTF21aaqytjr2656347075515",false,7.2283754,false,"",0.49678948521614075,"","","",2,false,1,22.46473503112793,"",60410.347071799915,"ZTF21aaqytjr",2683150275515010000,2656347075515,186.4236609,"","ztf",0.09710899740457535,0.08580099791288376,5.88100004196167,0.11011999845504761,0.000012203399819554761,7.228910446166992,21.305299758911133,2.924199104309082,240,473,17.56399917602539,28.486499786376953,0.022755499929189682,0.000007847100278013386,"0",1,186.4230499267578,55,473120255,1920.510009765625,1.9991999864578247,18.795000076293945,0.7020000219345093,0.10400000214576721
