OBS:      59248.439  r-ZTF  4317.987  287.489  18.412  0.072  None  P48  ZTF-Cam  None
OBS:      59250.358  g-ZTF  11033.884  510.817  17.393  0.050  None  P48  ZTF-Cam  None
OBS:      59250.403  r-ZTF  4217.002  345.306  18.437  0.089  None  P48  ZTF-Cam  None
OBS:      59252.332  r-ZTF  3839.395  226.926  18.539  0.064  None  P48  ZTF-Cam  None
OBS:      59252.488  g-ZTF  11097.704  443.488  17.387  0.043  None  P48  ZTF-Cam  None
OBS:      59254.425  r-ZTF  3880.480  294.110  18.528  0.082  None  P48  ZTF-Cam  None
OBS:      59256.421  r-ZTF  3469.923  227.792  18.649  0.071  None  P48  ZTF-Cam  None
OBS:      59256.491  g-ZTF  10498.797  380.674  17.447  0.039  None  P48  ZTF-Cam  None
OBS:      59260.401  r-ZTF  3200.370  233.454  18.737  0.079  None  P48  ZTF-Cam  None
OBS:      59260.486  g-ZTF  10059.324  599.979  17.494  0.065  None  P48  ZTF-Cam  None
OBS:      59263.358  g-ZTF  9592.118  501.586  17.545  0.057  None  P48  ZTF-Cam  None
OBS:      59265.374  r-ZTF  3202.676  242.276  18.736  0.082  None  P48  ZTF-Cam  None
OBS:      59265.399  g-ZTF  9091.887  351.830  17.603  0.042  None  P48  ZTF-Cam  None
OBS:      59267.419  r-ZTF  2770.511  256.057  18.894  0.100  None  P48  ZTF-Cam  None
OBS:      59269.373  r-ZTF  3011.879  216.382  18.803  0.078  None  P48  ZTF-Cam  None
OBS:      59269.436  g-ZTF  9083.059  396.912  17.604  0.047  None  P48  ZTF-Cam  None
OBS:      59271.399  g-ZTF  8505.975  560.470  17.676  0.072  None  P48  ZTF-Cam  None
OBS:      59275.299  g-ZTF  8290.207  493.636  17.704  0.065  None  P48  ZTF-Cam  None
OBS:      59275.384  r-ZTF  2632.471  380.464  18.949  0.157  None  P48  ZTF-Cam  None
OBS:      59278.318  g-ZTF  7959.975  308.740  17.748  0.042  None  P48  ZTF-Cam  None
OBS:      59278.424  r-ZTF  2422.452  251.959  19.039  0.113  None  P48  ZTF-Cam  None
OBS:      59281.292  r-ZTF  2442.759  244.615  19.030  0.109  None  P48  ZTF-Cam  None
OBS:      59291.298  g-ZTF  6678.991  284.753  17.938  0.046  None  P48  ZTF-Cam  None
OBS:      59291.352  r-ZTF  2089.798  261.806  19.200  0.136  None  P48  ZTF-Cam  None
OBS:      59293.255  r-ZTF  1914.468  218.301  19.295  0.124  None  P48  ZTF-Cam  None
OBS:      59296.358  r-ZTF  1803.223  205.669  19.360  0.124  None  P48  ZTF-Cam  None
OBS:      59298.333  g-ZTF  6106.095  390.765  18.036  0.069  None  P48  ZTF-Cam  None
OBS:      59302.257  r-ZTF  1739.723  383.213  19.399  0.239  None  P48  ZTF-Cam  None
OBS:      59304.259  g-ZTF  5554.597  403.175  18.138  0.079  None  P48  ZTF-Cam  None
OBS:      59307.269  r-ZTF  1655.160  164.826  19.453  0.108  None  P48  ZTF-Cam  None
OBS:      59307.298  g-ZTF  5346.628  267.643  18.180  0.054  None  P48  ZTF-Cam  None
OBS:      59309.269  r-ZTF  1423.403  179.930  19.617  0.137  None  P48  ZTF-Cam  None
OBS:      59309.308  g-ZTF  5203.345  264.809  18.209  0.055  None  P48  ZTF-Cam  None
OBS:      59311.248  g-ZTF  5208.421  283.048  18.208  0.059  None  P48  ZTF-Cam  None
OBS:      59311.311  r-ZTF  1299.813  148.733  19.715  0.124  None  P48  ZTF-Cam  None
OBS:      59313.258  g-ZTF  5142.307  319.520  18.222  0.067  None  P48  ZTF-Cam  None
OBS:      59315.235  r-ZTF  1220.438  156.753  19.784  0.139  None  P48  ZTF-Cam  None
OBS:      59315.277  g-ZTF  4930.196  724.437  18.268  0.160  None  P48  ZTF-Cam  None
OBS:      59317.238  g-ZTF  4696.780  227.923  18.320  0.053  None  P48  ZTF-Cam  None
OBS:      59317.330  r-ZTF  1567.617  172.740  19.512  0.120  None  P48  ZTF-Cam  None
OBS:      59321.270  g-ZTF  4368.819  252.401  18.399  0.063  None  P48  ZTF-Cam  None
OBS:      59321.277  r-ZTF  1368.251  180.556  19.660  0.143  None  P48  ZTF-Cam  None
OBS:      59323.279  g-ZTF  4154.559  295.731  18.454  0.077  None  P48  ZTF-Cam  None
OBS:      59325.323  g-ZTF  4172.919  236.492  18.449  0.062  None  P48  ZTF-Cam  None
OBS:      59334.214  g-ZTF  3892.811  232.527  18.524  0.065  None  P48  ZTF-Cam  None
OBS:      59334.271  r-ZTF  1001.106  218.653  19.999  0.237  None  P48  ZTF-Cam  None
OBS:      59336.259  g-ZTF  3707.493  234.855  18.577  0.069  None  P48  ZTF-Cam  None
OBS:      59336.310  r-ZTF  1139.305  163.632  19.858  0.156  None  P48  ZTF-Cam  None
OBS:      59338.257  r-ZTF  897.098  218.334  20.118  0.264  None  P48  ZTF-Cam  None
OBS:      59340.226  g-ZTF  3541.309  214.921  18.627  0.066  None  P48  ZTF-Cam  None
OBS:      59342.330  g-ZTF  3304.156  239.696  18.702  0.079  None  P48  ZTF-Cam  None
OBS:      59344.244  r-ZTF  954.289  152.713  20.051  0.174  None  P48  ZTF-Cam  None
OBS:      59344.290  g-ZTF  3237.038  250.194  18.725  0.084  None  P48  ZTF-Cam  None
OBS:      59346.373  g-ZTF  3250.949  283.728  18.720  0.095  None  P48  ZTF-Cam  None
OBS:      59348.193  r-ZTF  780.980  137.728  20.268  0.191  None  P48  ZTF-Cam  None
OBS:      59348.267  g-ZTF  3112.733  249.013  18.767  0.087  None  P48  ZTF-Cam  None
OBS:      59350.267  r-ZTF  1257.493  225.304  19.751  0.195  None  P48  ZTF-Cam  None
OBS:      59354.310  g-ZTF  3517.550  568.073  18.634  0.175  None  P48  ZTF-Cam  None
OBS:      59357.205  g-ZTF  2607.502  420.815  18.959  0.175  None  P48  ZTF-Cam  None
OBS:      59359.258  g-ZTF  2693.273  461.371  18.924  0.186  None  P48  ZTF-Cam  None
OBS:      59362.183  g-ZTF  2603.072  210.689  18.961  0.088  None  P48  ZTF-Cam  None
OBS:      59365.287  g-ZTF  2498.995  221.753  19.006  0.096  None  P48  ZTF-Cam  None
OBS:      59367.247  g-ZTF  2524.100  210.471  18.995  0.091  None  P48  ZTF-Cam  None
OBS:      59369.212  g-ZTF  2530.537  197.093  18.992  0.085  None  P48  ZTF-Cam  None
OBS:      59371.194  g-ZTF  2129.006  191.512  19.180  0.098  None  P48  ZTF-Cam  None
OBS:      59373.258  g-ZTF  1996.016  202.747  19.250  0.110  None  P48  ZTF-Cam  None
OBS:      59375.257  g-ZTF  1957.767  234.984  19.271  0.130  None  P48  ZTF-Cam  None
OBS:      60086.215  g-ZTF  1331.293  120.545  19.689  0.098  None  P48  ZTF-Cam  None
OBS:      58607.130  V  21602.985  21602.985  16.664  1.086  None  Siding_Spring_1m  Sinistro  Bad
OBS:      58607.132  B  16611.145  16611.145  16.949  1.086  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59026.128  up  4423.934  98.738  18.385  0.024  None  Siding_Spring_1m  Sinistro  None
OBS:      59026.130  gp  26364.379  208.329  16.447  0.009  None  Siding_Spring_1m  Sinistro  None
OBS:      59026.131  rp  35475.721  235.934  16.125  0.007  None  Siding_Spring_1m  Sinistro  None
OBS:      59026.132  ip  22724.800  152.167  16.609  0.007  None  Siding_Spring_1m  Sinistro  None
OBS:      59026.396  up  7698.919  7698.919  17.784  1.086  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59026.398  gp  3401.204  3401.204  18.671  1.086  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59026.399  rp  4566.513  4566.513  18.351  1.086  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59026.400  ip  6278.147  6278.147  18.005  1.086  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59028.385  up  34179.592  433.713  16.166  0.014  None  Siding_Spring_1m  Sinistro  None
OBS:      59028.387  gp  127879.097  897.729  14.733  0.008  None  Siding_Spring_1m  Sinistro  None
OBS:      59028.388  rp  135412.113  789.833  14.671  0.006  None  Siding_Spring_1m  Sinistro  None
OBS:      59028.389  ip  103687.773  564.947  14.961  0.006  None  Siding_Spring_1m  Sinistro  None
OBS:      59029.128  up  63230.848  1036.072  15.497  0.018  None  Siding_Spring_1m  Sinistro  None
OBS:      59029.130  gp  181819.398  1794.212  14.351  0.011  None  Siding_Spring_1m  Sinistro  None
OBS:      59029.131  rp  181941.122  1514.914  14.350  0.009  None  Siding_Spring_1m  Sinistro  None
OBS:      59029.132  ip  142296.233  1090.843  14.617  0.008  None  Siding_Spring_1m  Sinistro  None
OBS:      59032.347  up  333796.303  4320.178  13.691  0.014  None  Siding_Spring_1m  Sinistro  None
OBS:      59032.349  gp  552777.760  152750.924  13.144  0.300  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59032.350  rp  532536.786  147143.574  13.184  0.300  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59032.351  ip  412657.171  2288.462  13.461  0.006  None  Siding_Spring_1m  Sinistro  None
OBS:      59033.696  up  503764.106  12329.624  13.244  0.027  None  Siding_Spring_1m  Sinistro  None
OBS:      59033.698  gp  794701.831  219615.809  12.750  0.300  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59033.699  rp  724958.808  200319.140  12.849  0.300  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59033.700  ip  569778.076  3536.501  13.111  0.007  None  Siding_Spring_1m  Sinistro  None
OBS:      59035.352  up  679566.196  12674.411  12.919  0.020  None  Siding_Spring_1m  Sinistro  None
OBS:      59035.354  gp  962905.372  266176.989  12.541  0.300  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59035.355  rp  899949.469  248711.588  12.614  0.300  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59035.356  ip  680627.516  188080.363  12.918  0.300  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59037.346  up  789517.524  218307.550  12.756  0.300  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59037.348  gp  1239281.495  342445.099  12.267  0.300  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59037.349  rp  1103609.083  304937.353  12.393  0.300  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59037.350  ip  807596.587  223133.061  12.732  0.300  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59038.720  up  881290.390  243752.080  12.638  0.300  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59038.723  gp  1454493.177  402015.427  12.093  0.300  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59038.723  rp  1214884.590  11565.429  12.288  0.010  None  Siding_Spring_1m  Sinistro  None
OBS:      59038.724  ip  853791.169  12442.769  12.672  0.016  None  Siding_Spring_1m  Sinistro  None
OBS:      59153.504  up  8774.812  8774.812  17.642  1.086  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59153.507  gp  44163.851  683.566  15.888  0.017  None  Siding_Spring_1m  Sinistro  None
OBS:      59153.508  rp  5827.268  5827.268  18.086  1.086  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59153.509  ip  6684.601  6684.601  17.937  1.086  None  Siding_Spring_1m  Sinistro  Bad
OBS:      59160.509  up  22401.202  22401.202  16.624  1.086  None  Siding_Spring_1m  Sinistro  Bad
